From,To,Time,From Addr,From city,To Addr,To city
6,2,1.0008333333333332,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
6,3,26.17527777777778,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
6,4,4.689166666666667,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
6,5,5.906944444444444,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
6,6,0,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
6,7,26.96638888888889,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
6,8,4.6575,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,Pune,Pune
6,9,2.497777777777778,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,Mumbai,Mumbai
6,10,34.341944444444444,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,Delhi,Delhi
6,11,16.048055555555557,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,Bangalore,Bangalore
6,12,,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate,Kolkatta,Kolkatta
7,1,25.043333333333333,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Warje, Pune, Maharashtra 411058, India",Pune
7,2,25.725555555555555,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
7,3,0.5294444444444445,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
7,4,33.56861111111111,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
7,5,25.425555555555555,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
7,6,25.796388888888888,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
7,7,0,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
7,8,22.67,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,Pune,Pune
7,9,24.611944444444443,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,Mumbai,Mumbai
7,10,47.769444444444446,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,Delhi,Delhi
7,11,8.111944444444445,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,Bangalore,Bangalore
7,12,49.783611111111114,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai,Kolkatta,Kolkatta
8,1,0.5747222222222222,Pune,Pune,"Warje, Pune, Maharashtra 411058, India",Pune
8,2,4.563611111111111,Pune,Pune,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
8,3,21.41,Pune,Pune,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
8,4,0.5213888888888889,Pune,Pune,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
